address,zip_code
"3031 QF, Hengelo (Gld)",3031 QF
"7766 ZG, Overveen",7766 ZG
"7245 NT, Heeze",7245 NT
"Wesleyring 2, 8737 ZN, Roggel",8737 ZN
"9401 UO, Haulerwijk",9401 UO
"Luuklaan 729, 1004 CX, Sint Maartensbrug",1004 CX
"1849 ZL, Sonnega",1849 ZL
"Mustafaweg 488, 9748 BY, Taarlo",9748 BY
"Jetlaan 816, 8779 EM, Holwierde",8779 EM
"4530 IS, Sint Anthonis",4530 IS
"Rafboulevard 8, 8369 HA, Wetsens",8369 HA
"Aliciaring 665, 9673 IW, Windraak",9673 IW
"1075 IH, Hedikhuizen",1075 IH
"1808 KR, Benningbroek",1808 KR
"4893 FF, Oss",4893 FF
"2660 FA, Harbrinkhoek",2660 FA
"2764 NQ, Terherne",2764 NQ
"6371 NU, Eagum",6371 NU
"1383 PV, Kapelle",1383 PV
"Wouterlaan 310, 5715 FY, Zenderen",5715 FY
"Nadiaring 992, 6189 BM, Slagharen",6189 BM
"Michaelpad 580, 8046 PC, Oost West en Middelbeers",8046 PC
"Jacksingel 78, 3829 RX, Hoek",3829 RX
"Yarasteeg 3, 1042 JK, Meerkerk",1042 JK
"Isabelboulevard 678, 7046 UC, Scharmer",7046 UC
"7736 AR, Toornwerd",7736 AR
"1165 XY, De Bult",1165 XY
"2373 KH, Ledeacker",2373 KH
"9083 EO, Sprang-Capelle",9083 EO
"Miabaan 4, 1546 ZT, Nijbroek",1546 ZT
"Xavisteeg 8, 7625 BF, Sondel",7625 BF
"7228 UV, Doniaga",7228 UV
"Maraboulevard 490, 3061 AN, Spanbroek",3061 AN
"6427 KH, Eck en Wiel",6427 KH
"Zoeyhof 93, 1935 HC, Ossenwaard",1935 HC
"7439 AF, Alteveer gem Hoogeveen",7439 AF
"Demidreef 8, 7535 LE, Gellicum",7535 LE
"3249 ZT, Farmsum",3249 ZT
"Thomashof 947, 9573 OR, Smakt",9573 OR
"2057 JX, Megen",2057 JX
"Pimlaan 2, 4405 BJ, Grevenbicht",4405 BJ
"1363 VZ, Jelsum",1363 VZ
"5815 UA, Ellertshaar",5815 UA
"Benjaminpad 02, 5064 KZ, Wjelsryp",5064 KZ
"Hiddestraat 10, 3858 DM, Woldendorp",3858 DM
